channel,method,sales,profit,total_return_amt,total_net_loss
catalog,Able mistakes take slowly desirable strings. Interesting parents force obviously. Great visits ,80245.61,-301233.58,1105477.43,651890.89
catalog,"Able, physical students will not win actually at a cells. Lesser eyes help mentally revoluti",41433.61,-197376.67,649142.98,398050.21
catalog,"About old police set. Shy countries could cover never territories. Various, new questions em",40690.54,-326206.11,749408.42,435252.47
catalog,About true nerves become here on a questions. Women will not mee,40435.26,-110294.11,551398.25,330092.43
catalog,Across other demands turn easier women. Faintly other rights will turn at present following ,42352.73,-274981.62,574598.78,400800.53
catalog,"Active, high wheels muster at last formidable governments. Standard, good limits take still s",39442.50,-274270.65,602800.53,379054.13
catalog,Again large programmes should widen either open unable officers. Cases mon,36696.73,-253781.65,591344.75,359078.73
catalog,"All real spaces used to illustrate much never true years; personal, concerned markets must ass",38133.42,-314143.42,593447.07,357254.09
catalog,Almost christian relations take british studies. A,82046.85,-299733.60,1153546.00,672570.10
catalog,"Almost left sales pay strategies. Now willing services might not lead. Formal, small services tal",37315.64,-110628.25,504401.52,308643.44
catalog,"Alone, major eyes tend. Controls must set more globa",34529.12,-343306.66,551817.12,317962.49
catalog,Already entire copies concentrate grounds. Bishops buy. Much retail hand,42730.04,-399644.76,651463.78,411999.02
catalog,Already grey marks should not say more. International effects maintain deep eyes; businesse,81372.93,-431190.21,1195380.12,750463.55
catalog,"Also alternative women should buy. Pregnant, wild kinds break finally towns. Pictures touch french",37444.81,-193473.09,643715.41,370991.41
catalog,"Also difficult ways might return for the visitors. Simple, long chapters could ta",41722.12,-257503.65,599346.02,376910.62
catalog,"Also essential costs may not produce below cruel, aware conservatives. Other, nationa",44147.04,-168500.14,603933.75,369169.93
catalog,"Also potential letters stand even possibly other children; ordinary, cautious parties ",42082.61,-158808.34,600670.64,345849.05
catalog,"Alternative, able partners could finish industrial",80223.47,-236134.90,1301870.63,769412.72
catalog,"Always good magistrates should make problems. Normal, essential ",40671.85,-222447.01,520297.25,293301.92
catalog,"American, different powers clean appropriate, european wives. Potential, sheer libraries consider w",37228.66,-269187.84,542886.63,333309.12
catalog,Angles keep always. Free students shall think much involved knees. Men entail in a diffe,42432.44,-52375.88,640544.59,355590.45
catalog,"Anyway left makers would not guard; enormous, kind gam",84630.16,-483770.56,1262555.02,757860.27
catalog,Architects could fill with a windows; right areas shall not m,80321.95,-461942.77,1205485.75,728192.44
catalog,"Areas arrive desirable projects. Direct, special books should not tak",42618.90,-299279.56,595484.06,351714.55
catalog,"Areas order simple, industrial costs; foreign families cut ever papers. Member",77999.62,-439513.90,1136486.84,676005.31
catalog,"Areas shall display more at a losses. Teeth point on a tears. Main, national miles tell differen",78766.36,-594743.67,1286405.23,747310.47
catalog,As proud hands seem conspicuously fair plants. Quite general articles,39845.24,-319225.81,629693.58,367112.01
catalog,As representative deaths understand therefore since a curtains. Alone labour ,75159.62,-559264.46,1096109.03,651902.66
catalog,"As well normal doors lead grand, existing products. Good sales would not last no longer recen",42143.49,-99418.98,637757.59,374600.04
catalog,At least blue weapons will assist deliberately only black days. Forward eastern scenes sho,77962.66,-335357.07,1179107.23,704585.38
catalog,Attitudes last surely. Basically different losses interfere slightly jeans. Natural actions w,82899.38,-362583.67,1215448.73,748764.81
catalog,Auditors restore all right busy miles. High groups live studies. Kids shall bla,80971.46,-358779.17,1232913.46,734740.09
catalog,"Australian affairs cut further only, important clothes. Students can learn well in a ",37761.75,-120892.98,553218.83,331662.06
catalog,Authorities shall show too forests; no longer subjecti,81862.99,-172463.33,1157879.77,699206.71
catalog,Automatic sites take both various systems. Foreign children will not,41936.45,-190336.89,656670.38,380477.59
catalog,Automatically concerned years organise. Facilities make,36436.89,-272880.45,539122.80,323980.84
catalog,"Available, clear children should enforce internal directions. Englis",81416.59,-362235.76,1157566.07,687449.87
catalog,"Banks used to keep so. Real, increased steps might not make still. N",38098.16,-332559.85,598263.02,357958.53
catalog,"Bars might not undertake tears. Long-term, scottish ",44694.37,-51961.27,585544.55,355516.74
catalog,"Basic police accept just bodies. Subsequent, wrong alternatives cannot u",41107.53,-158269.05,634506.26,372781.47
catalog,"Basic words may combat common, ruling hours. Short, busy type",39752.23,-141780.49,461028.28,287060.88
catalog,"Big roots imagine relations. Outside, other books burn; independent, flat months",81297.20,-587797.83,1191651.74,698259.72
catalog,"Black, excellent questions could develop tender, ne",85441.64,-296623.23,1246855.02,737005.48
catalog,Both final priorities should not express at last real worlds. Months take women.,42940.83,-345848.43,640780.02,384969.90
catalog,"Both possible boys happen continuously satisfied, clever countries. L",35307.79,-287463.42,558558.87,315257.46
catalog,Buildings seem loudly engines. Able drawings can ensure too; still industrial ,36478.83,-202856.82,505267.56,306333.76
catalog,"Cases become in the things. Legal children tell much civil, short tons. Other e",38251.37,-285952.02,596343.42,354390.09
catalog,"Children will appear relatively at the issues. Growing, prime students sh",39843.01,-160241.21,551313.31,324249.99
catalog,Children would move more complete rocks. Opinions need individual years. Components eat over her,38425.61,-8108.82,571301.95,361639.44
catalog,"Chinese, agricultural lessons shift ahead tory, comprehensive results; succes",42081.82,-188597.71,662883.71,377525.08
catalog,"Clean eggs exercise just certain children. Too political applicants enable additional, unable mana",44765.76,-134186.33,588565.64,370058.19
catalog,"Clear, pink skills might fulfil sorry symptoms. Years commu",40617.74,-148506.71,587109.53,317273.31
catalog,"Close workers meet suddenly cells; present, central cases need bitter commen",75180.40,-430492.98,1154157.88,672866.16
catalog,"Clothes go less african, sexual feet; total, extra officers will not get rare, other execu",38492.08,-231883.50,542855.72,349507.11
catalog,"Cold, agricultural machines provide central, religious experts. Difficult a",36523.03,-175878.26,556221.48,328882.08
catalog,"Colleagues may not satisfy glad ministers. Available, medical dec",31447.29,-356089.69,582978.06,303172.08
catalog,"Commonly original committees meet further years. Minutes access together local, new yea",78327.62,-375155.32,1243269.41,712451.23
catalog,"Competitive, chief sheets include as to a reports. Schools may delay immensely responsible ",38968.71,-195821.36,675926.48,398058.77
catalog,"Complex, large estimates echo however during the guidelines. Experiments used t",83443.77,-342059.77,1293100.76,767348.69
catalog,"Conclusions discuss. Small policies should stand difficult, distinct voices. Alone free r",38571.48,-190012.90,567585.96,341092.02
catalog,"Conditions use almost generally good matters. External, important parties say new, labour hundr",40509.33,-194202.52,633582.34,357170.50
catalog,Consequently private problems may understand for a thoughts. Appropriate p,81777.81,-453094.70,1306057.05,742681.15
catalog,"Convenient shoes concentrate then thinking, busy circum",41420.50,-141709.80,607908.99,372420.10
catalog,"Creative, long children may go on a banks. Quickly premier communities must monitor a",88605.35,-480180.23,1311478.19,778936.95
catalog,"Curious, safe buildings must play also ideal copies. Organizations shake seriously practic",79834.16,-513088.53,1131160.44,687246.14
catalog,"Current, british courts used to want now totally political theories. Ready proposals suffer dire",39822.52,-234956.59,521230.76,321652.80
catalog,"Dates imply on a trees. Big, ethnic kinds might not apprec",42272.08,-157683.43,612926.54,384626.46
catalog,"Days pay seriously huge, right designers; certainly ",83549.28,-456152.13,1242990.73,701757.84
catalog,Dead arts commend. Softly criminal hours think as at a minerals. Presidential b,41375.63,-14437.25,681011.01,386390.90
catalog,"Dead changes shall find simply attitudes. Level, alternative moments wou",77989.13,-145954.64,1119239.14,669525.85
catalog,Dead residents clear similarly new bodies. Broad customers c,38531.06,-195396.98,643825.15,358835.46
catalog,"Debts provide heavy, gradual authorities. Largely black pubs could not support certain",80339.44,-329052.64,1122591.82,685121.74
catalog,"Deep good years involve new intervals. Necessary, global words claim anyway.",83251.36,-325007.78,1128109.75,676088.94
catalog,Democratic mountains must answer; measurements improve however vario,41216.48,-222289.06,583291.70,370733.23
catalog,"Democratic, married stars can relieve more. Light, early demands produce often fina",39975.55,-164470.67,621301.64,388782.16
catalog,"Departments work completely fixed, favorable kinds. Eyes shall not",77502.13,-303037.17,1165809.84,708336.92
catalog,Different meetings shall claim. Indeed integrated face,91464.64,-342522.62,1366302.87,802784.83
catalog,"Different, new risks cause direct democratic, heavy sorts. Alone, other states dream ",40311.01,-84418.67,531527.50,334986.22
catalog,Difficult results face uncomfortably other operations. At onc,35766.02,-188193.09,580038.38,339141.44
catalog,"Diplomatic, electrical services shall laugh only down a clubs. Sure, broad months may deny m",74968.14,-459973.32,1173126.34,679186.73
catalog,"Disciplines cannot cause later pink women. Logical, general examples used to stress",42768.43,-79298.10,623428.13,355925.02
catalog,"Distinctive, other ways can point well green, national eyes; bad thoughts get rapid, gastr",41270.16,-227544.86,667598.05,425201.37
catalog,Drugs must try new offenders. Causes ought to move rather harsh requirements. Very effecti,39277.41,-266856.56,585401.36,311935.39
catalog,Early afraid criteria float in a papers. Here great volumes may go then. Memori,40812.99,-336234.87,664925.01,378353.85
catalog,"Early materials see in a women. Ago planned units would collect tiny, expensive opportunities",40801.95,-196595.23,618456.92,351950.36
catalog,"Efforts ensure reluctantly social, good runs. Regular, p",37208.11,-202933.45,555976.45,343600.31
catalog,"Elements reconcile. Safely small techniques drain for a stars; old, thin children may not",38045.75,-242320.47,616146.00,376262.64
catalog,Employees brush numerous conferences. Even central hands alter new years. Alternative poli,39854.73,-343900.45,679527.90,389870.59
catalog,"English times extend never for a days. So long rules grow sound, ",35902.11,-225862.19,506124.42,295014.45
catalog,Especially british boots shall call then provincial materials. Vital facilities care a,77777.01,-377437.87,1149403.79,674386.85
catalog,Essentially advanced relationships could retain about the,43779.38,-236539.92,617946.58,349796.34
catalog,Even little forces could not know like a reforms. Ideally female p,78032.93,-298694.41,1209633.92,678268.56
catalog,"Exciting things sustain recently times. Moral, top par",39885.28,-327285.93,665361.88,375151.35
catalog,"Expensive, clear indicators ought to support possibly democratic, certain ",37988.29,-203244.44,668865.16,359614.79
catalog,"Experimental, final wages ought to get never paintings. Growing factors say very sad others; oth",37748.19,-276209.60,610314.12,353478.08
catalog,Explicitly pregnant plants like then added scientists; long heavy teacher,43158.16,-162051.06,570945.34,350023.38
catalog,Eyes could say mostly well private years; wrong councils us,39310.97,-164985.05,542305.66,349392.66
catalog,"Famous parents attend open, encouraging women; peri",38763.72,-221538.58,595499.81,358475.47
catalog,"Famous remains keep more than obvious sciences. Fatal, significant sides insis",36066.32,-193001.32,530595.43,327630.20
catalog,"Fast firms might keep instantly. Realistic, major cuts ought to stand for instance into a proc",37236.58,-167890.68,534148.02,333032.20
