('Men', 'accessories', 'amalgimporto #1', 'ese', 'Unknown', 2, Decimal('195173.34'), 376816.0133333333)
('Music', 'rock', 'amalgscholar #1', 'ese', 'Unknown', 2, Decimal('198531.19'), 379755.315)
('Women', 'maternity', 'exportiamalg #1', 'eing', 'Unknown', 2, Decimal('197588.44'), 378699.12916666665)
('Music', 'rock', 'amalgscholar #1', 'eing', 'Unknown', 2, Decimal('201896.68'), 382116.02416666667)
('Men', 'accessories', 'amalgimporto #1', 'able', 'Unknown', 2, Decimal('198380.01'), 378142.80666666664)
('Music', 'rock', 'amalgscholar #1', 'able', 'Unknown', 2, Decimal('202290.04'), 381088.955)
('Men', 'accessories', 'amalgimporto #1', 'bar', 'Unknown', 2, Decimal('199408.80'), 377963.8425)
('Music', 'rock', 'amalgscholar #1', 'bar', 'Unknown', 2, Decimal('202981.02'), 380916.3358333333)
('Shoes', 'athletic', 'edu packedu pack #1', 'bar', 'Unknown', 2, Decimal('193933.34'), 370172.7158333333)
('Shoes', 'athletic', 'edu packedu pack #1', 'eing', 'Unknown', 2, Decimal('196404.30'), 371745.25916666666)
('Shoes', 'athletic', 'edu packedu pack #1', 'ese', 'Unknown', 2, Decimal('194299.26'), 369102.2875)
('Women', 'maternity', 'exportiamalg #1', 'ese', 'Unknown', 2, Decimal('204422.27'), 378369.705)
('Women', 'maternity', 'exportiamalg #1', 'bar', 'Unknown', 2, Decimal('204614.20'), 378306.08166666667)
('Women', 'maternity', 'exportiamalg #1', 'able', 'Unknown', 2, Decimal('205221.51'), 378776.1675)
('Shoes', 'athletic', 'edu packedu pack #1', 'able', 'Unknown', 2, Decimal('200668.89'), 371871.905)
('Music', 'rock', 'amalgscholar #1', 'eing', 'Unknown', 4, Decimal('211029.50'), 382116.02416666667)
('Music', 'rock', 'amalgscholar #1', 'able', 'Unknown', 4, Decimal('210457.32'), 381088.955)
('Women', 'maternity', 'exportiamalg #1', 'able', 'Unknown', 4, Decimal('208362.86'), 378776.1675)
