('barn stcallypriought', 'amalgexporti #1', 'newborn', 'Children', 431.63900414937757)
('barn stcallypriought', 'amalgexporti #1', 'newborn', None, 431.63900414937757)
('barn stcallypriought', 'amalgexporti #1', None, None, 431.63900414937757)
('barn stcallypriought', None, None, None, 431.63900414937757)
('antieseationableought', 'amalgimporto #2', 'accessories', 'Men', 438.0775510204082)
('antieseationableought', 'amalgimporto #2', 'accessories', None, 438.0775510204082)
('antieseationableought', 'amalgimporto #2', None, None, 438.0775510204082)
('antieseationableought', None, None, None, 438.0775510204082)
('oughtantiantieing', 'edu packscholar #2', 'classical', 'Music', 438.93951612903226)
('oughtantiantieing', 'edu packscholar #2', 'classical', None, 438.93951612903226)
('oughtantiantieing', 'edu packscholar #2', None, None, 438.93951612903226)
('oughtantiantieing', None, None, None, 438.93951612903226)
('barcallyantieing', 'exportiimporto #1', 'pants', 'Men', 439.6599190283401)
('barcallyantieing', 'exportiimporto #1', 'pants', None, 439.6599190283401)
('barcallyantieing', 'exportiimporto #1', None, None, 439.6599190283401)
('barcallyantieing', None, None, None, 439.6599190283401)
('eingprin stpri', 'scholarunivamalg #12', 'karoke', 'Electronics', 439.9512195121951)
('eingprin stpri', 'scholarunivamalg #12', 'karoke', None, 439.9512195121951)
('eingprin stpri', 'scholarunivamalg #12', None, None, 439.9512195121951)
('eingprin stpri', None, None, None, 439.9512195121951)
('ablecallyn stable', 'namelessmaxi #11', 'romance', 'Books', 442.003984063745)
('ablecallyn stable', 'namelessmaxi #11', 'romance', None, 442.003984063745)
('ablecallyn stable', 'namelessmaxi #11', None, None, 442.003984063745)
('ablecallyn stable', None, None, None, 442.003984063745)
('barablecally', 'exporticorp #5', 'gold', 'Jewelry', 442.3089430894309)
('barablecally', 'exporticorp #5', 'gold', None, 442.3089430894309)
('barablecally', 'exporticorp #5', None, None, 442.3089430894309)
('barablecally', None, None, None, 442.3089430894309)
('ationoughteingn st', 'exportiunivamalg #9', 'dvd/vcr players', 'Electronics', 442.7088607594937)
('ationoughteingn st', 'exportiunivamalg #9', 'dvd/vcr players', None, 442.7088607594937)
('ationoughteingn st', 'exportiunivamalg #9', None, None, 442.7088607594937)
('ationoughteingn st', None, None, None, 442.7088607594937)
('bareseought', 'importoscholar #1', 'country', 'Music', 442.7848605577689)
('bareseought', 'importoscholar #1', 'country', None, 442.7848605577689)
('bareseought', 'importoscholar #1', None, None, 442.7848605577689)
('bareseought', None, None, None, 442.7848605577689)
('ationcallyoughteseought', 'amalgimporto #2', 'accessories', 'Men', 442.8524590163934)
('ationcallyoughteseought', 'amalgimporto #2', 'accessories', None, 442.8524590163934)
('ationcallyoughteseought', 'amalgimporto #2', None, None, 442.8524590163934)
('ationcallyoughteseought', None, None, None, 442.8524590163934)
('barationeingese', 'exportiexporti #1', 'toddlers', 'Children', 443.0240963855422)
('barationeingese', 'exportiexporti #1', 'toddlers', None, 443.0240963855422)
('barationeingese', 'exportiexporti #1', None, None, 443.0240963855422)
('barationeingese', None, None, None, 443.0240963855422)
('antiantieseationought', 'edu packamalg #2', 'swimwear', 'Women', 443.1639344262295)
('antiantieseationought', 'edu packamalg #2', 'swimwear', None, 443.1639344262295)
('antiantieseationought', 'edu packamalg #2', None, None, 443.1639344262295)
('antiantieseationought', None, None, None, 443.1639344262295)
('ableeingoughteing', 'amalgunivamalg #11', 'cooking', 'Books', 443.2579365079365)
('ableeingoughteing', 'amalgunivamalg #11', 'cooking', None, 443.2579365079365)
('ableeingoughteing', 'amalgunivamalg #11', None, None, 443.2579365079365)
('ableeingoughteing', None, None, None, 443.2579365079365)
('callyoughtpricallyought', 'exportibrand #5', 'loose stones', 'Jewelry', 443.5772357723577)
('callyoughtpricallyought', 'exportibrand #5', 'loose stones', None, 443.5772357723577)
('callyoughtpricallyought', 'exportibrand #5', None, None, 443.5772357723577)
('callyoughtpricallyought', None, None, None, 443.5772357723577)
('eseantiprianti', 'edu packnameless #5', 'camping', 'Sports', 444.3673469387755)
('eseantiprianti', 'edu packnameless #5', 'camping', None, 444.3673469387755)
('eseantiprianti', 'edu packnameless #5', None, None, 444.3673469387755)
('eseantiprianti', None, None, None, 444.3673469387755)
('oughtoughtanti', 'importoscholar #2', 'country', 'Music', 445.50212765957446)
('oughtoughtanti', 'importoscholar #2', 'country', None, 445.50212765957446)
('oughtoughtanti', 'importoscholar #2', None, None, 445.50212765957446)
('oughtoughtanti', None, None, None, 445.50212765957446)
('callyn stableeing', 'exportischolar #1', 'pop', 'Music', 445.7768924302789)
('callyn stableeing', 'exportischolar #1', 'pop', None, 445.7768924302789)
('callyn stableeing', 'exportischolar #1', None, None, 445.7768924302789)
('callyn stableeing', None, None, None, 445.7768924302789)
('barationpriableought', 'amalgamalg #1', 'dresses', 'Women', 446.00796812749)
('barationpriableought', 'amalgamalg #1', 'dresses', None, 446.00796812749)
('barationpriableought', 'amalgamalg #1', None, None, 446.00796812749)
('barationpriableought', None, None, None, 446.00796812749)
('ablebaresecallyought', 'amalgmaxi #3', 'archery', 'Sports', 446.0285714285714)
('ablebaresecallyought', 'amalgmaxi #3', 'archery', None, 446.0285714285714)
('ablebaresecallyought', 'amalgmaxi #3', None, None, 446.0285714285714)
('ablebaresecallyought', None, None, None, 446.0285714285714)
('pricallyoughtn st', 'importoexporti #2', 'infants', 'Children', 446.4876033057851)
('pricallyoughtn st', 'importoexporti #2', 'infants', None, 446.4876033057851)
('pricallyoughtn st', 'importoexporti #2', None, None, 446.4876033057851)
('pricallyoughtn st', None, None, None, 446.4876033057851)
('barcallybaration', 'importoamalg #1', 'fragrances', 'Women', 446.85258964143424)
('barcallybaration', 'importoamalg #1', 'fragrances', None, 446.85258964143424)
('barcallybaration', 'importoamalg #1', None, None, 446.85258964143424)
('barcallybaration', None, None, None, 446.85258964143424)
('callyeingeingn st', 'amalgbrand #7', 'bathroom', 'Home', 447.3211382113821)
('callyeingeingn st', 'amalgbrand #7', 'bathroom', None, 447.3211382113821)
('callyeingeingn st', 'amalgbrand #7', None, None, 447.3211382113821)
('callyeingeingn st', None, None, None, 447.3211382113821)
('barationeseanti', 'edu packamalg #1', 'swimwear', 'Women', 448.1526104417671)
('barationeseanti', 'edu packamalg #1', 'swimwear', None, 448.1526104417671)
('barationeseanti', 'edu packamalg #1', None, None, 448.1526104417671)
('barationeseanti', None, None, None, 448.1526104417671)
('eingeingbarpri', 'exportiexporti #1', 'toddlers', 'Children', 448.3611111111111)
('eingeingbarpri', 'exportiexporti #1', 'toddlers', None, 448.3611111111111)
('eingeingbarpri', 'exportiexporti #1', None, None, 448.3611111111111)
('eingeingbarpri', None, None, None, 448.3611111111111)
('ableoughtn stanti', 'amalgamalgamalg #14', 'disk drives', 'Electronics', 448.531746031746)
('ableoughtn stanti', 'amalgamalgamalg #14', 'disk drives', None, 448.531746031746)
('ableoughtn stanti', 'amalgamalgamalg #14', None, None, 448.531746031746)
('ableoughtn stanti', None, None, None, 448.531746031746)
