('AAAAAAAABBEHAAAA', 'American results join never whole per', Decimal('35.99'))
('AAAAAAAABGICCAAA', 'Even other agreements should help on', Decimal('37.77'))
('AAAAAAAABHLJAAAA', 'Yet', Decimal('35.45'))
('AAAAAAAACJDCBAAA', 'Recommendations leave interpretations. Religio', Decimal('20.91'))
('AAAAAAAAEKIMBAAA', 'Other solutions sh', Decimal('39.19'))
('AAAAAAAAFOFJBAAA', 'Requirements would eat very great payments. Redundant circumstances greet well procedures; unlikely members recruit new issues. Briefly working minutes know also ', Decimal('26.16'))
('AAAAAAAAGHJBAAAA', 'Recent representatives afford initial, new results; now present sides must not choose tomorrow. Bright, you', Decimal('42.58'))
('AAAAAAAAHFHJAAAA', 'Separately british observers should obtain only respective new characters; already modern chairs see chains. Groups might play usually s', Decimal('20.78'))
('AAAAAAAAHFJOCAAA', 'Scientific students d', Decimal('18.42'))
('AAAAAAAAIEKHAAAA', 'National, unemployed years see. Women agree; prayers fire to a others. Conventional, d', Decimal('28.07'))
('AAAAAAAAINIKBAAA', 'Giant rates should not say with a members. Expectations might not make still english holes. Wild complain', Decimal('41.33'))
('AAAAAAAAINIKCAAA', 'Yet judicial edges may spend then books; factors find also. Only certain subjects say extremely careful objections. Widespread, foreign factors should not remind. ', Decimal('41.55'))
('AAAAAAAAMIIBDAAA', 'Days must give best special contents. Difficult peoples clear only large programmes. Citizens cannot question in a drawings. Good games might get meanwhile big p', Decimal('39.35'))
('AAAAAAAANKJOAAAA', 'Semantic members might not identify margins. Responsible, vast ', Decimal('26.86'))
('AAAAAAAAOCMLBAAA', 'Companies used to allow ', Decimal('26.88'))
('AAAAAAAAOGJMAAAA', 'Hardly video-t', Decimal('40.85'))
('AAAAAAAAOODBDAAA', 'Main cars shall not get more stars. Hard, human governments must make; away available preferences create much. Books shall not send for example leaders. Longer old walls get new, lik', Decimal('44.54'))
('AAAAAAAAPKBOAAAA', 'Important, digital services should not elect formally. Dark, female bishops see then regular years. Only cases miss; costs admit. Modern rates look. Citizens ask movements. Schemes can prov', Decimal('40.93'))
