('oughtoughteingantiation', 'corpnameless #2', 'furniture', 'Home', 454.4569892473118)
('oughtoughteingantiation', 'corpnameless #2', 'furniture', None, 454.4569892473118)
('oughtoughteingantiation', 'corpnameless #2', None, None, 454.4569892473118)
('oughtoughteingantiation', None, None, None, 454.4569892473118)
('ableesen steingeingought', 'maximaxi #3', 'science', 'Books', 455.6)
('ableesen steingeingought', 'maximaxi #3', 'science', None, 455.6)
('ableesen steingeingought', 'maximaxi #3', None, None, 455.6)
('ableesen steingeingought', None, None, None, 455.6)
('callybarn stablebarable', 'amalgnameless #7', 'athletic shoes', 'Sports', 455.61486486486484)
('callybarn stablebarable', 'amalgnameless #7', 'athletic shoes', None, 455.61486486486484)
('callybarn stablebarable', 'amalgnameless #7', None, None, 455.61486486486484)
('callybarn stablebarable', None, None, None, 455.61486486486484)
('ablecallyprin stanti', 'brandunivamalg #16', 'personal', 'Electronics', 458.0285326086956)
('ablecallyprin stanti', 'brandunivamalg #16', 'personal', None, 458.0285326086956)
('ablecallyprin stanti', 'brandunivamalg #16', None, None, 458.0285326086956)
('ablecallyprin stanti', None, None, None, 458.0285326086956)
('pripriantieing', 'importonameless #4', 'baseball', 'Sports', 459.83176312247645)
('pripriantieing', 'importonameless #4', 'baseball', None, 459.83176312247645)
('pripriantieing', 'importonameless #4', None, None, 459.83176312247645)
('pripriantieing', None, None, None, 459.83176312247645)
('antiableeseantieingought', 'scholarunivamalg #7', 'karoke', 'Electronics', 459.96900269541777)
('antiableeseantieingought', 'scholarunivamalg #7', 'karoke', None, 459.96900269541777)
('antiableeseantieingought', 'scholarunivamalg #7', None, None, 459.96900269541777)
('antiableeseantieingought', None, None, None, 459.96900269541777)
('callyoughtantiesen stought', 'edu packexporti #1', 'school-uniforms', 'Children', 460.2463186077644)
('callyoughtantiesen stought', 'edu packexporti #1', 'school-uniforms', None, 460.2463186077644)
('callyoughtantiesen stought', 'edu packexporti #1', None, None, 460.2463186077644)
('callyoughtantiesen stought', None, None, None, 460.2463186077644)
('eingationeseantipriought', 'amalgscholar #1', 'rock', 'Music', 460.61058344640435)
('eingationeseantipriought', 'amalgscholar #1', 'rock', None, 460.61058344640435)
('eingationeseantipriought', 'amalgscholar #1', None, None, 460.61058344640435)
('eingationeseantipriought', None, None, None, 460.61058344640435)
('callyantiableationableought', 'brandbrand #7', 'decor', 'Home', 460.63858695652175)
('callyantiableationableought', 'brandbrand #7', 'decor', None, 460.63858695652175)
('callyantiableationableought', 'brandbrand #7', None, None, 460.63858695652175)
('callyantiableationableought', None, None, None, 460.63858695652175)
('pribarn stpribarought', 'corpmaxi #4', 'golf', 'Sports', 460.6833558863329)
('pribarn stpribarought', 'corpmaxi #4', 'golf', None, 460.6833558863329)
('pribarn stpribarought', 'corpmaxi #4', None, None, 460.6833558863329)
('pribarn stpribarought', None, None, None, 460.6833558863329)
('eseesen stcallyantiought', 'edu packamalg #1', 'swimwear', 'Women', 460.75170532060025)
('eseesen stcallyantiought', 'edu packamalg #1', 'swimwear', None, 460.75170532060025)
('eseesen stcallyantiought', 'edu packamalg #1', None, None, 460.75170532060025)
('eseesen stcallyantiought', None, None, None, 460.75170532060025)
('eingeingpripriation', 'edu packamalgamalg #17', 'automotive', 'Electronics', 461.0735694822888)
('eingeingpripriation', 'edu packamalgamalg #17', 'automotive', None, 461.0735694822888)
('eingeingpripriation', 'edu packamalgamalg #17', None, None, 461.0735694822888)
('eingeingpripriation', None, None, None, 461.0735694822888)
('n stationbarbarantiought', 'importoamalg #2', 'fragrances', 'Women', 461.10284167794316)
('n stationbarbarantiought', 'importoamalg #2', 'fragrances', None, 461.10284167794316)
('n stationbarbarantiought', 'importoamalg #2', None, None, 461.10284167794316)
('n stationbarbarantiought', None, None, None, 461.10284167794316)
('oughtableeseableese', 'edu packmaxi #2', 'entertainments', 'Books', 461.72162162162164)
('oughtableeseableese', 'edu packmaxi #2', 'entertainments', None, 461.72162162162164)
('oughtableeseableese', 'edu packmaxi #2', None, None, 461.72162162162164)
('oughtableeseableese', None, None, None, 461.72162162162164)
('barcallyationoughtoughtought', 'amalgbrand #1', 'semi-precious', 'Jewelry', 461.994623655914)
('barcallyationoughtoughtought', 'amalgbrand #1', 'semi-precious', None, 461.994623655914)
('barcallyationoughtoughtought', 'amalgbrand #1', None, None, 461.994623655914)
('barcallyationoughtoughtought', None, None, None, 461.994623655914)
('ableeingeingationcally', 'importoedu pack #1', 'mens', 'Shoes', 462.1260162601626)
('ableeingeingationcally', 'importoedu pack #1', 'mens', None, 462.1260162601626)
('ableeingeingationcally', 'importoedu pack #1', None, None, 462.1260162601626)
('ableeingeingationcally', None, None, None, 462.1260162601626)
